timestamp,sn,text,EST
2017-07-17 00:33:14,Tea_Party_Chris,"RT @nancy_us85: One Small North #dakota Town Taught Mark Zuckerberg Exactly Why #DonaldTrump Is #President
https://t.co/gk0Y7pSr7R
#SundayF…",2017-07-16 19:33:14
2017-07-17 00:33:12,Syedraza8191,The Reality of #Wahhabism in #Islam https://t.co/G6VMOs5mqS #SaudiArabia #Salafism #Deobandi #ISIS #Taliban #AlQaeda #DonaldTrump #MikePence,2017-07-16 19:33:12
2017-07-17 00:33:01,trumpnews247,#DonaldTrump -  Trump's travel ban to head back to Supreme Court - Washington Times https://t.co/kRsFZL4on9   - - - #trump,2017-07-16 19:33:01
2017-07-17 00:32:02,WomensPowerCen,#americanelection #RepublicansForHillary Empowering site:Can #DonaldTrump win #USElections https://t.co/mg0jk9kAWD https://t.co/9JMGxRHG1L,2017-07-16 19:32:02
2017-07-17 00:31:35,FireTrumpPence,@JoyAnnReid #DonaldTrump #CowardInChief #LockHimUp https://t.co/rqHXw7ijbn,2017-07-16 19:31:35
2017-07-17 00:31:30,mommala728,RT @amjoyshow: Thoughts? → #DonaldTrump begs Theresa May to fix a 'warm welcome' for his state visit https://t.co/fZMVmIt1FT,2017-07-16 19:31:30
2017-07-17 00:31:26,R1Ray,"RT @JamesReader_RP: #DonaldTrump’s Sunday Tweet About His Approval Rating is Complete, Total, Delusional Horseshit &gt;&gt;https://t.co/EPYVjn34Z…",2017-07-16 19:31:26
2017-07-17 00:30:34,ShirlsAdams,"@PhilBl55 @TrueFactsStated That was from the Pink Floyd concert right? They really tore into #DonaldTrump. 
 I ❤️ them!",2017-07-16 19:30:34
2017-07-17 00:30:25,kimberleypea,RT @amjoyshow: Now on #AMJoy... #DonaldTrump's personal attorney Jay Sekulow going on ALL FIVE #SundayMorning political shows. Thoughts #re…,2017-07-16 19:30:25
2017-07-17 00:30:10,ChristophHeer52,"RT @johnramos91: If you needed #DonaldTrump to confirm the #MSM is ""the enemy of the people""…you're way behind #OperationMockingbird https:…",2017-07-16 19:30:10
2017-07-17 00:29:24,SierraNev2,RT @Jeff81442228: Another great thread by @ThomasWictor #AmericaFirst #trumptrain #Trumprussia #DonaldTrumpJr #DonaldTrump #ccot #russiagat…,2017-07-16 19:29:24
2017-07-17 00:27:32,IMPEACH_IT,IMPEACH #donaldtrump #trump #antitrump #notmypresident https://t.co/3uVWyCHhVn,2017-07-16 19:27:32
2017-07-17 00:27:29,IMPEACH_IT,IMPEACH #donaldtrump #trump #antitrump #notmypresident https://t.co/VrfzbbxLPR,2017-07-16 19:27:29
2017-07-17 00:27:26,IMPEACH_IT,IMPEACH #donaldtrump #trump #antitrump #notmypresident https://t.co/6QdfMPFnZ3,2017-07-16 19:27:26
